City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Clare,MI,US,24,24,24.0,"Clare, MI, US",43.8194703,-84.7686281
Clemson,SC,US,500,500,500.0,"Clemson, SC, US",34.6834382,-82.8373654
Cleveland,OH,US,15000,15000,15e3,"Cleveland, OH, US",41.49932,-81.6943605
Cobb,CA,US,2,2,2.0,"Cobb, CA, US",38.8334625,-122.720961
Cobbleskill,NY,US,300,300,300.0,"Cobbleskill, NY, US",42.677853,-74.4854172
Cody,WY,US,500,500,500.0,"Cody, WY, US",44.52634219999999,-109.0565308
College Station,TX,US,NA,NA,NA,"College Station, TX, US",30.627977,-96.3344068
Colorado Springs,CO,US,7000,7000,7e3,"Colorado Springs, CO, US",38.8338816,-104.8213634
Clumbia,MO,US,3000,3604,3302.0,"Clumbia, MO, US",38.9517053,-92.3340724
Columbia,SC,US,2000,2000,2e3,"Columbia, SC, US",34.0007104,-81.0348144
Columbus,OH,US,NA,NA,NA,"Columbus, OH, US",39.9611755,-82.99879419999999
Compton,CA,US,NA,NA,NA,"Compton, CA, US",33.8958492,-118.2200712
Concord,NH,US,6000,6000,6e3,"Concord, NH, US",43.2081366,-71.5375718
Conover,WI,US,1,1,1.0,"Conover, WI, US",46.0546741,-89.25791389999999
Cooperstown,NY,US,200,200,200.0,"Cooperstown, NY, US",42.7006303,-74.92432099999999
Coos Bay,OR,US,200,200,200.0,"Coos Bay, OR, US",43.3665007,-124.2178903
Copper Harbor,MI,US,19,19,19.0,"Copper Harbor, MI, US",47.4683113,-87.8903203
Cordova,AK,US,NA,NA,NA,"Cordova, AK, US",60.5424087,-145.7525414
Corpus Christi,TX,US,24,24,24.0,"Corpus Christi, TX, US",27.8005828,-97.39638099999999
Cortez,CO,US,400,504,452.0,"Cortez, CO, US",37.3488827,-108.5859265
Corvallis,OR,US,100,100,100.0,"Corvallis, OR, US",44.5645659,-123.2620435
Crestone,CO,US,1,1,1.0,"Crestone, CO, US",37.9963881,-105.6997332
Dallas,TX,US,5000,8000,6500.0,"Dallas, TX, US",32.7766642,-96.79698789999999
Dayton,OH,US,3000,3000,3e3,"Dayton, OH, US",39.7589478,-84.1916069
Daytona Beach,FL,US,100,100,100.0,"Daytona Beach, FL, US",29.2108147,-81.0228331
Decorah,IA,US,NA,NA,NA,"Decorah, IA, US",43.30330559999999,-91.7857092
Delhi,NY,US,NA,NA,NA,"Delhi, NY, US",42.27814009999999,-74.91599459999999
Deming,NM,US,NA,NA,NA,"Deming, NM, US",32.2686981,-107.7586404
Denton,TX,US,2500,2800,2650.0,"Denton, TX, US",33.2148412,-97.13306829999999
Denver,CO,US,200000,200000,2e5,"Denver, CO, US",39.7392358,-104.990251
Des Moines,IA,US,26000,26000,26e3,"Des Moines, IA, US",41.6005448,-93.6091064
Detroit,MI,US,4000,4000,4e3,"Detroit, MI, US",42.331427,-83.0457538
Disability (online),,,NA,NA,NA,"Disability (online), , ",33.9727825,-117.6932291
Douglas-Saugatuck,MI,US,1200,2500,1850.0,"Douglas-Saugatuck, MI, US",42.6420639,-86.2076352
Doylestown,PA,US,1000,1000,1e3,"Doylestown, PA, US",40.3101063,-75.1298939
Driggs,ID,US,1000,1000,1e3,"Driggs, ID, US",43.7232522,-111.1113326
Dubuque,IA,US,400,400,400.0,"Dubuque, IA, US",42.5005583,-90.66457179999999
Duluth,MN,US,1500,1500,1500.0,"Duluth, MN, US",46.78667189999999,-92.1004852
Durango,CO,US,1000,1000,1e3,"Durango, CO, US",37.27528,-107.8800667
Eagle Pass,TX,US,NA,NA,NA,"Eagle Pass, TX, US",28.7091433,-100.4995214
East Haddam,CT,US,500,500,500.0,"East Haddam, CT, US",41.5034351,-72.4757767
Eastport,ME,US,70,70,70.0,"Eastport, ME, US",44.9061906,-66.98997849999999
Eastsound,WA,US,NA,NA,NA,"Eastsound, WA, US",48.696654,-122.9061069
Eau Claire,WI,US,250,250,250.0,"Eau Claire, WI, US",44.7683909,-91.28910359999999
El Paso,TX,US,1000,1000,1e3,"El Paso, TX, US",31.7618778,-106.4850217
Elgin,IL,US,200,1000,600.0,"Elgin, IL, US",42.0354084,-88.2825668
Elkton,OR,US,NA,NA,NA,"Elkton, OR, US",39.60677889999999,-75.83327179999999
Ellsworth,ME,US,60,60,60.0,"Ellsworth, ME, US",44.5434095,-68.4194641
Ely,MN,US,50,50,50.0,"Ely, MN, US",47.9032372,-91.8670873
Ephrata,WA,US,250,250,250.0,"Ephrata, WA, US",47.3176385,-119.5536491
Erie,PA,US,2500,2500,2500.0,"Erie, PA, US",42.12922409999999,-80.085059
Eugene,OR,US,7000,10000,8500.0,"Eugene, OR, US",44.0520691,-123.0867536
Eureka,CA,US,2000,80000,41e3,"Eureka, CA, US",40.8020712,-124.1636729
Fairbanks,AK,US,1000,1000,1e3,"Fairbanks, AK, US",64.8377778,-147.7163889
Fairfield,IA,US,200,200,200.0,"Fairfield, IA, US",41.00761139999999,-91.9636914
Fairmont,WY,US,95,95,95.0,"Fairmont, WY, US",33.7676528,-117.8282531
Falmouth,MA,US,1000,1000,1e3,"Falmouth, MA, US",41.5532208,-70.60858859999999
Fargo,ND,US,1000,3000,2e3,"Fargo, ND, US",46.8771863,-96.7898034
Fayetteville,AR,US,1000,1000,1e3,"Fayetteville, AR, US",36.0625795,-94.1574263
Fernandina Beach,FL,US,1000,1300,1150.0,"Fernandina Beach, FL, US",30.6696818,-81.46259189999999
Flagstaff,AZ,US,1200,1200,1200.0,"Flagstaff, AZ, US",35.1982836,-111.651302
Florence,OR,US,NA,NA,NA,"Florence, OR, US",34.1954331,-79.7625625
Floyd,VA,US,200,200,200.0,"Floyd, VA, US",36.9112443,-80.3200502
Forks,WA,US,45,45,45.0,"Forks, WA, US",47.950355,-124.3854867
Fort Wayne,IN,US,1000,1000,1e3,"Fort Wayne, IN, US",41.079273,-85.1393513
Fort Bragg,CA,US,NA,NA,NA,"Fort Bragg, CA, US",39.445723,-123.8052935
Fort Sumner,NM,US,NA,NA,NA,"Fort Sumner, NM, US",34.4717332,-104.2455304
Fort Worth,TX,US,5000,6000,5500.0,"Fort Worth, TX, US",32.7554883,-97.3307658
Francestown,NH,US,134,134,134.0,"Francestown, NH, US",42.98758249999999,-71.8125769
Frederick,MD,US,1000,1000,1e3,"Frederick, MD, US",39.41426879999999,-77.4105409
Fredonia,NY,US,NA,NA,NA,"Fredonia, NY, US",42.4400576,-79.3317105
Fresno,CA,US,2000,2000,2e3,"Fresno, CA, US",36.7468422,-119.7725868
Friday Harbor,WA,US,1500,1500,1500.0,"Friday Harbor, WA, US",48.5342662,-123.0171242
Gainesville,FL,US,1000,1000,1e3,"Gainesville, FL, US",29.6516344,-82.32482619999999
Galesburg,IL,US,100,100,100.0,"Galesburg, IL, US",40.94781580000001,-90.3712395
Gila,NM,US,1,1,1.0,"Gila, NM, US",32.9646574,-108.5775687
Glen Falls,NY,US,1000,1000,1e3,"Glen Falls, NY, US",43.3095164,-73.6440058
Glenwood Springs,CO,US,100,100,100.0,"Glenwood Springs, CO, US",39.5505376,-107.3247762
Gold Canyon,AZ,US,NA,NA,NA,"Gold Canyon, AZ, US",33.3593407,-111.4500302
Gouldsboro,ME,US,25,25,25.0,"Gouldsboro, ME, US",44.47852,-68.039543
Grand Forks,ND,US,304,304,304.0,"Grand Forks, ND, US",47.9252568,-97.0328547
Grand Junction,CO,US,4500,5000,4750.0,"Grand Junction, CO, US",39.0638705,-108.5506486
Grand Rapids,MI,US,300,300,300.0,"Grand Rapids, MI, US",42.9633599,-85.6680863
Green Bay,WI,US,200,200,200.0,"Green Bay, WI, US",44.51915899999999,-88.019826
Green Valley,AZ,US,400,400,400.0,"Green Valley, AZ, US",31.8542511,-110.9937019
Greenfield,MA,US,1000,2000,1500.0,"Greenfield, MA, US",42.587915,-72.5994104
Greensboro,NC,US,3000,6000,4500.0,"Greensboro, NC, US",36.0726354,-79.7919754
Greenville,SC,US,2000,2000,2e3,"Greenville, SC, US",34.85261759999999,-82.3940104
Greenwood,IN,US,NA,NA,NA,"Greenwood, IN, US",39.6136578,-86.10665259999999
Gross Pointe,MI,US,NA,NA,NA,"Gross Pointe, MI, US",42.3861485,-82.9118591
Gualala,CA,US,NA,NA,NA,"Gualala, CA, US",38.7722996,-123.5340084
Gulfport,MS,US,300,300,300.0,"Gulfport, MS, US",30.3674198,-89.0928155
Gustavus,AK,US,105,105,105.0,"Gustavus, AK, US",58.4133333,-135.7369444
Haines,AK,US,150,170,160.0,"Haines, AK, US",59.2358333,-135.445
Halfway,OR,US,NA,NA,NA,"Halfway, OR, US",44.880715,-117.1146173
Harrisburg,PA,US,1100,1100,1100.0,"Harrisburg, PA, US",40.2731911,-76.8867008
Hartford,CT,US,10000,10000,1e4,"Hartford, CT, US",41.76371109999999,-72.6850932
Hattiesburg,MS,US,NA,NA,NA,"Hattiesburg, MS, US",31.3271189,-89.29033919999999
Helena,AR,US,2,2,2.0,"Helena, AR, US",34.5291,-90.58999999999999
Helena,MT,US,10000,10000,1e4,"Helena, MT, US",46.5883707,-112.0245054
Hemet,CA,US,NA,NA,NA,"Hemet, CA, US",33.7475203,-116.9719684
Hilo,HI,US,1500,2200,1850.0,"Hilo, HI, US",19.7070942,-155.0884869
Hillsborough,NC,US,200,200,200.0,"Hillsborough, NC, US",36.0754183,-79.0997347
Homer,AK,US,900,900,900.0,"Homer, AK, US",59.64250000000001,-151.5483333
Honolulu,HI,US,8000,8000,8e3,"Honolulu, HI, US",21.3069444,-157.8583333
Houghton,MI,US,500,500,500.0,"Houghton, MI, US",47.12113309999999,-88.5694182
Houston,TX,US,20000,22000,21e3,"Houston, TX, US",29.7604267,-95.3698028
Hudson,NY,US,1500,3000,2250.0,"Hudson, NY, US",42.2528649,-73.790959
Idaho Falls,ID,US,500,500,500.0,"Idaho Falls, ID, US",43.49165139999999,-112.0339645
Indiana,PA,US,100,200,150.0,"Indiana, PA, US",40.6214551,-79.15253489999999
Indianapolis,IN,US,4000,10000,7e3,"Indianapolis, IN, US",39.768403,-86.158068
Inverness,CA,US,5,5,5.0,"Inverness, CA, US",38.1010337,-122.8569377
Iowa City,IA,US,1000,1000,1e3,"Iowa City, IA, US",41.6611277,-91.5301683
Ithaca,NY,US,10000,10000,1e4,"Ithaca, NY, US",42.4439614,-76.5018807
Jackson,NH,US,NA,NA,NA,"Jackson, NH, US",44.1462613,-71.1850996
Jackson,MS,US,750,5000,2875.0,"Jackson, MS, US",32.2987573,-90.1848103
Jackson Hole,WY,US,1000,1000,1e3,"Jackson Hole, WY, US",43.4799291,-110.7624282
Jacksonville,FL,US,2000,3000,2500.0,"Jacksonville, FL, US",30.3321838,-81.65565099999999
Jerome,AZ,US,NA,NA,NA,"Jerome, AZ, US",34.7489107,-112.1137716
Jonesborough,TN,US,1000,1000,1e3,"Jonesborough, TN, US",36.2942722,-82.4734787
Joseph,OR,US,310,310,310.0,"Joseph, OR, US",45.3543187,-117.2296126
June Lake,CA,US,NA,NA,NA,"June Lake, CA, US",37.7797825,-119.0754232
Juneau,AK,US,1000,1000,1e3,"Juneau, AK, US",58.301944399999996,-134.4197222
Kahului,HI,US,NA,NA,NA,"Kahului, HI, US",20.8893351,-156.4729469
Kalamazoo,MI,US,1000,1000,1e3,"Kalamazoo, MI, US",42.2917069,-85.5872286
Kanab,UT,US,175,175,175.0,"Kanab, UT, US",37.0474855,-112.5263145
Kansas City,MO,US,10000,10000,1e4,"Kansas City, MO, US",39.0997265,-94.5785667
Kauai,HI,US,2000,2000,2e3,"Kauai, HI, US",22.0964396,-159.5261238
Kawaihae,HI,US,50,50,50.0,"Kawaihae, HI, US",20.0352881,-155.8281882
Keene,NH,US,300,300,300.0,"Keene, NH, US",42.933692,-72.2781409
Kennbunk,ME,US,700,700,700.0,"Kennbunk, ME, US",43.3617327,-70.4767274
Kent,CT,US,180,180,180.0,"Kent, CT, US",41.7247554,-73.47696429999999
Kent,OH,US,100,100,100.0,"Kent, OH, US",41.1536674,-81.3578859
Ketchikan,AK,US,150,150,150.0,"Ketchikan, AK, US",55.34222219999999,-131.6461111
Ketchum,ID,US,1150,1150,1150.0,"Ketchum, ID, US",43.6807402,-114.3636619
Key West,FL,US,3200,3200,3200.0,"Key West, FL, US",24.5550593,-81.7799871
Killington,VT,US,NA,NA,NA,"Killington, VT, US",43.6775677,-72.77982469999999
King's Beach,CA,US,NA,NA,NA,"King's Beach, CA, US",39.2376846,-120.0265798
Kingston,WA,US,60,60,60.0,"Kingston, WA, US",47.7987072,-122.4981921
Klamath Falls,OR,US,300,300,300.0,"Klamath Falls, OR, US",42.224867,-121.7816704
Knoxville,TN,US,2000,2000,2e3,"Knoxville, TN, US",35.9606384,-83.9207392
Kodiak,AK,US,NA,NA,NA,"Kodiak, AK, US",57.79000000000001,-152.4072222
Kona,HI,US,3500,3500,3500.0,"Kona, HI, US",19.639994,-155.9969261
Kotzebeu,AK,US,NA,NA,NA,"Kotzebeu, AK, US",66.89833329999999,-162.5966666
La Crosse,WI,US,NA,100,50.0,"La Crosse, WI, US",43.8013556,-91.23958069999999
La Grande,OR,US,NA,NA,NA,"La Grande, OR, US",45.3245771,-118.0877188
Lafayette,IN,US,800,1000,900.0,"Lafayette, IN, US",40.4167022,-86.87528689999999
Laguna Beach,CA,US,3500,3500,3500.0,"Laguna Beach, CA, US",33.5422475,-117.7831104
Lakeside,OH,US,300,300,300.0,"Lakeside, OH, US",41.538557,-82.7672968
Lancaster,NH,US,400,400,400.0,"Lancaster, NH, US",44.4889204,-71.5692477
Lancaster,PA,US,100,100,100.0,"Lancaster, PA, US",40.0466571,-76.17837390000001
Lander,WY,US,350,350,350.0,"Lander, WY, US",42.833014,-108.7306725
Langley,WA,US,1300,1300,1300.0,"Langley, WA, US",48.0400945,-122.406257
Lansing,MI,US,10000,10000,1e4,"Lansing, MI, US",42.732535,-84.5555347
Laramie,WY,US,NA,NA,NA,"Laramie, WY, US",41.3113669,-105.5911007
Las Cruces,NM,US,100,100,100.0,"Las Cruces, NM, US",32.3199396,-106.7636538
Las Vegas,NV,US,5000,15000,1e4,"Las Vegas, NV, US",36.1699412,-115.1398296
Las Vegas,NM,US,50,50,50.0,"Las Vegas, NM, US",35.5942137,-105.2227978
Leonia,NJ,US,100,100,100.0,"Leonia, NJ, US",40.8614887,-73.9881942
Lexington,KY,US,5000,5000,5e3,"Lexington, KY, US",38.0405837,-84.5037164
Lewis,NY,US,NA,NA,NA,"Lewis, NY, US",44.27502700000001,-73.5655742
Lewisburg,PA,US,150,200,175.0,"Lewisburg, PA, US",40.9645293,-76.8844101
Lihue,HI,US,NA,NA,NA,"Lihue, HI, US",21.9811111,-159.3711111
Lilly,PA,US,4,4,4.0,"Lilly, PA, US",40.4259058,-78.62001780000001
Lincoln,NE,US,8000,8000,8e3,"Lincoln, NE, US",40.8257625,-96.6851982
Little Rock,AR,US,7000,7000,7e3,"Little Rock, AR, US",34.7464809,-92.28959479999999
Logan,UT,US,NA,NA,NA,"Logan, UT, US",41.7369803,-111.8338359
Los Angeles,CA,US,50000,750000,4e5,"Los Angeles, CA, US",34.0522342,-118.2436849
Lompoc,CA,US,NA,NA,NA,"Lompoc, CA, US",34.6391501,-120.4579409
Longview,WA,US,200,200,200.0,"Longview, WA, US",46.1381676,-122.9381672
Longville,MN,US,67,67,67.0,"Longville, MN, US",46.9863443,-94.2113636
Lousville,KY,US,5000,5000,5e3,"Lousville, KY, US",38.2526647,-85.7584557
Loup City,NE,US,150,150,150.0,"Loup City, NE, US",41.275565,-98.9667532
Lubbock,TX,US,350,350,350.0,"Lubbock, TX, US",33.5778631,-101.8551665
Lubec,ME,US,95,95,95.0,"Lubec, ME, US",44.85858630000001,-66.9835907
Mt. Shasta,CA,US,400,400,400.0,"Mt. Shasta, CA, US",41.3098746,-122.3105666
Madison,WI,US,75000,10000,42500.0,"Madison, WI, US",43.0730517,-89.4012302
Mankato,MN,US,50,50,50.0,"Mankato, MN, US",44.1635775,-93.99939959999999
Marfa,TX,US,76,76,76.0,"Marfa, TX, US",30.3094622,-104.020623
Martha's Vineyard,MA,US,100,100,100.0,"Martha's Vineyard, MA, US",41.3804981,-70.645473
Marquette,MI,US,200,800,500.0,"Marquette, MI, US",46.5475825,-87.39559539999999
Marquette,WI,US,200,300,250.0,"Marquette, WI, US",43.865322,-89.3226954
Maryville,IL,US,NA,NA,NA,"Maryville, IL, US",38.7244997,-89.9572444
Maui,HI,US,1500,2000,1750.0,"Maui, HI, US",20.7983626,-156.3319253
Mayaguez,PR,US,NA,NA,NA,"Mayaguez, PR, US",18.2110294,-67.1391071
McMinnville,OR,US,700,100,400.0,"McMinnville, OR, US",45.21011619999999,-123.1987163
Melbourn,FL,US,500,500,500.0,"Melbourn, FL, US",28.0836269,-80.60810889999999
Memphis,TN,US,9000,9000,9e3,"Memphis, TN, US",35.1495343,-90.0489801
Menomonie,WI,US,NA,NA,NA,"Menomonie, WI, US",44.8755183,-91.9193422
Mentone,AL,US,50,50,50.0,"Mentone, AL, US",34.5795282,-85.5905204
Merrill,MI,US,NA,NA,NA,"Merrill, MI, US",43.4097497,-84.3288783
Miami,FL,US,10000,10000,1e4,"Miami, FL, US",25.7616798,-80.1917902
Miami Beach,FL,US,NA,NA,NA,"Miami Beach, FL, US",25.790654,-80.1300455
Midland,MI,US,400,400,400.0,"Midland, MI, US",43.6155825,-84.2472116
Midland,TX,US,50,50,50.0,"Midland, TX, US",31.9973456,-102.0779146
Miles City,MT,US,NA,NA,NA,"Miles City, MT, US",46.4083362,-105.8405582
Millheim,PA,US,50,50,50.0,"Milhelm, PA, US",NA,NA
Milwaukee,WI,US,1000,1000,1e3,"Milwaukee, WI, US",43.0389025,-87.9064736
Minneapolis,MN,US,NA,NA,NA,"Minneapolis, MN, US",44.977753,-93.2650108
Minocqua,WI,US,300,300,300.0,"Minocqua, WI, US",45.8710837,-89.7092705
Missoula,MT,US,NA,NA,NA,"Missoula, MT, US",46.87871759999999,-113.996586
Moab,UT,US,200,200,200.0,"Moab, UT, US",38.5733155,-109.5498395
Mobile,AL,US,900,1000,950.0,"Mobile, AL, US",30.6953657,-88.0398912
Modesto,CA,US,900,900,900.0,"Modesto, CA, US",37.63909719999999,-120.9968782
Mooresville,NC,US,NA,NA,NA,"Mooresville, NC, US",35.5848596,-80.8100724
Montpelier,VT,US,15000,20000,17500.0,"Montpelier, VT, US",44.26005929999999,-72.5753869
Monterey Bay,CA,US,1500,1500,1500.0,"Monterey Bay, CA, US",36.8007413,-121.947311
Morganton,NC,US,500,500,500.0,"Morganton, NC, US",35.7454071,-81.6848188
Morris,MN,US,250,250,250.0,"Morris, MN, US",45.5919444,-95.9188889
Moscow,ID,US,2500,2500,2500.0,"Moscow, ID, US",46.73238749999999,-117.0001651
Mount Vernon,OH,US,20,30,25.0,"Mount Vernon, OH, US",40.3933956,-82.4857181
Mount Vernon,WA,US,NA,NA,NA,"Mount Vernon, WA, US",48.421216,-122.3340474
Murfreesboro,TN,US,NA,NA,NA,"Murfreesboro, TN, US",35.8456213,-86.39027
Murray,KY,US,700,700,700.0,"Murray, KY, US",36.6103334,-88.31476099999999
Nacogdoches,TX,US,200,300,250.0,"Nacogdoches, TX, US",31.6035129,-94.6554874
Nantucket,MA,US,NA,NA,NA,"Nantucket, MA, US",41.2834704,-70.099451
Napa,CA,US,3000,3000,3e3,"Napa, CA, US",38.2975381,-122.286865
Naples,FL,US,2500,5000,3750.0,"Naples, FL, US",26.1420358,-81.7948103
Nashville,TN,US,15000,20000,17500.0,"Nashville, TN, US",36.1626638,-86.7816016
Nevada City,CA,US,100,100,100.0,"Nevada City, CA, US",39.2615606,-121.0160594
New Bern,NC,US,300,600,450.0,"New Bern, NC, US",35.108493,-77.04411429999999
New Haven,CT,US,NA,NA,NA,"New Haven, CT, US",41.308274,-72.9278835
New Orleans,LA,US,10000,10000,1e4,"New Orleans, LA, US",29.95106579999999,-90.0715323
New Smyrna Beach,FL,US,1000,1000,1e3,"New Smyrna Beach, FL, US",29.0258191,-80.9269984
New York,NY,US,400000,500000,45e4,"New York, NY, US",40.7127837,-74.0059413
Newark,DE,US,1200,1200,1200.0,"Newark, DE, US",39.6837226,-75.74965720000002
Newark,NJ,US,1000,1000,1e3,"Newark, NJ, US",40.735657,-74.1723667
Newport,OR,US,1500,1500,1500.0,"Newport, OR, US",41.4901024,-71.3128285
Nome,AK,US,NA,NA,NA,"Nome, AK, US",64.5011111,-165.4063889
Norfolk,VA,US,2000,2000,2e3,"Norfolk, VA, US",36.8507689,-76.28587259999999
Northampton,MA,US,1000,1000,1e3,"Northampton, MA, US",42.3250896,-72.64120129999999
Oahu,HI,US,3000,5000,4e3,"Oahu, HI, US",21.4389123,-158.0000565
Oakhurst,CA,US,200,200,200.0,"Oakhurst, CA, US",37.3279997,-119.6493154
Oakland,CA,US,60000,100000,8e4,"Oakland, CA, US",37.8043637,-122.2711137
Oak Ridge,TN,US,NA,NA,NA,"Oak Ridge, TN, US",36.0103561,-84.26964490000002
Ocala,FL,US,NA,NA,NA,"Ocala, FL, US",29.1871986,-82.14009229999999
Ocean City,MD,US,100,100,100.0,"Ocean City, MD, US",38.3365032,-75.0849058
Ogden,UT,US,200,200,200.0,"Ogden, UT, US",41.223,-111.9738304
Oklahoma City,OK,US,12000,12000,12e3,"Oklahoma City, OK, US",35.4675602,-97.5164276
Old Saybrook,CT,US,NA,NA,NA,"Old Saybrook, CT, US",41.2960159,-72.38453009999999
Olympia,WA,US,10000,10000,1e4,"Olympia, WA, US",47.0378741,-122.9006951
Omaha,NE,US,12000,14000,13e3,"Omaha, NE, US",41.2523634,-95.99798829999999
Oneonta,NY,US,500,500,500.0,"Oneonta, NY, US",42.4528571,-75.0637746
Onley,VA,US,50,50,50.0,"Onley, VA, US",37.6909641,-75.71604049999999
Ontario,CA,US,200,200,200.0,"Ontario, CA, US",34.0633443,-117.6508876
Orange County,CA,US,NA,NA,NA,"Orange County, CA, US",33.7174708,-117.8311428
Orlando,FL,US,3000,3000,3e3,"Orlando, FL, US",28.5383355,-81.3792365
Oxford,MS,US,450,450,450.0,"Oxford, MS, US",34.3664951,-89.5192484
Pacifica,CA,US,1200,1200,1200.0,"Pacifica, CA, US",37.6138253,-122.4869194
Palm Desert,CA,US,1000,1000,1e3,"Palm Desert, CA, US",33.7222445,-116.3744556
Palm Springs,CA,US,600,600,600.0,"Palm Springs, CA, US",33.8302961,-116.5452921
Palmdale,CA,US,24,24,24.0,"Palmdale, CA, US",34.5794343,-118.1164613
Palmer,AK,US,NA,NA,NA,"Palmer, AK, US",61.5997222,-149.1127778
Park City,UT,US,8000,8000,8e3,"Park City, UT, US",40.6460622,-111.4979729
Panama City,FL,US,500,500,500.0,"Panama City, FL, US",30.1588129,-85.6602058
Paoli,IN,US,67,67,67.0,"Paoli, IN, US",38.55616630000001,-86.468321
Pasadena,CA,US,1700,1700,1700.0,"Pasadena, CA, US",34.1477849,-118.1445155
Peoria,IL,US,2000,2000,2e3,"Peoria, IL, US",40.6936488,-89.5889864
Pendelton,OR,US,425,425,425.0,"Pendelton, OR, US",45.672075,-118.7885967
Pensacola,FL,US,2000,2000,2e3,"Pensacola, FL, US",30.42130899999999,-87.2169149
Pence,WI,US,1,1,1.0,"Pence, WI, US",46.4152257,-90.27156579999999
Pequannock Township,NJ,US,800,1000,900.0,"Pequannock Township, NJ, US",40.960201,-74.2973239
Philadelphia,PA,US,50000,50000,5e4,"Philadelphia, PA, US",39.9525839,-75.1652215
Phoenix,AZ,US,20000,20000,2e4,"Phoenix, AZ, US",33.4483771,-112.0740373
Pierre,SD,US,NA,NA,NA,"Pierre, SD, US",44.3683156,-100.3509665
Pinedale,WY,US,100,100,100.0,"Pinedale, WY, US",42.8678809,-109.8633501
Pittsburgh,PA,US,25000,25000,25e3,"Pittsburgh, PA, US",40.44062479999999,-79.9958864
Pittsfield,MA,US,1500,1500,1500.0,"Pittsfield, MA, US",42.4500845,-73.2453824
Plymouth,WI,US,NA,NA,NA,"Plymouth, WI, US",43.7486054,-87.9770379
Pocatello,ID,US,1200,1200,1200.0,"Pocatello, ID, US",42.8713032,-112.4455344
Port Angeles,WA,US,100,100,100.0,"Port Angeles, WA, US",48.118146,-123.4307413
Port Jefferson,NY,US,2000,2000,2e3,"Port Jefferson, NY, US",40.9464875,-73.0692732
Port Jervis,NY,US,NA,NA,NA,"Port Jervis, NY, US",41.3750937,-74.692663
Port Orford,OR,US,300,300,300.0,"Port Orford, OR, US",42.7456644,-124.4973267
Port Townsend,WA,US,1000,1000,1e3,"Port Townsend, WA, US",48.11703869999999,-122.7604472
Portland,ME,US,10000,10000,1e4,"Portland, ME, US",43.66147100000001,-70.2553259
Portland,OR,US,70000,100000,85e3,"Portland, OR, US",45.5230622,-122.6764816
Portsmouth,NH,US,3000,5000,4e3,"Portsmouth, NH, US",43.0717552,-70.7625532
Poughkeepsie,NY,US,4000,5000,4500.0,"Poughkeepsie, NY, US",41.7003713,-73.9209701
Prescott,AZ,US,1200,1200,1200.0,"Prescott, AZ, US",34.5400242,-112.4685025
Providence,RI,US,7000,7000,7e3,"Providence, RI, US",41.8239891,-71.4128343
Provincetown,MA,US,NA,NA,NA,"Provincetown, MA, US",42.0584412,-70.1786425
Raleigh,NC,US,17000,20000,18500.0,"Raleigh, NC, US",35.7795897,-78.6381787
Rapid City,SD,US,1000,2000,1500.0,"Rapid City, SD, US",44.0805434,-103.2310149
Reading,PA,US,NA,NA,NA,"Reading, PA, US",40.3356483,-75.9268747
Redding,CA,US,300,300,300.0,"Redding, CA, US",40.5865396,-122.3916754
Redondo Beach,CA,US,1800,1800,1800.0,"Redondo Beach, CA, US",33.8491816,-118.3884078
Redwood City,CA,US,2500,2500,2500.0,"Redwood City, CA, US",37.48521520000001,-122.2363548
Reno,NV,US,10000,10000,1e4,"Reno, NV, US",39.5296329,-119.8138027
Richland,WA,US,1000,2500,1750.0,"Richland, WA, US",46.2856907,-119.2844621
Richmond,VA,US,2000,2000,2e3,"Richmond, VA, US",37.5407246,-77.4360481
Ridgecrest,CA,US,NA,NA,NA,"Ridgecrest, CA, US",35.6224561,-117.6708966
Ridgeway,CO,US,50,50,50.0,"Ridgeway, CO, US",38.1525873,-107.7556162
Riegelsville,PA,US,170,170,170.0,"Riegelsville, PA, US",40.5942673,-75.195453
Riverside,CA,US,4000,4000,4e3,"Riverside, CA, US",33.9533487,-117.3961564
Roanoke,VA,US,3000,3000,3e3,"Roanoke, VA, US",37.2709704,-79.9414266
Rochester,MN,US,600,1000,800.0,"Rochester, MN, US",44.0121221,-92.4801989
Rochester,NY,US,1000,2000,1500.0,"Rochester, NY, US",43.16103,-77.6109219
Rockford,IL,US,1000,1000,1e3,"Rockford, IL, US",42.2711311,-89.0939952
Roswell,NM,US,2,2,2.0,"Roswell, NM, US",33.3942655,-104.5230242
St. Augustine,FL,US,NA,NA,NA,"St. Augustine, FL, US",29.9012437,-81.31243409999999
St. George,UT,US,1475,1475,1475.0,"St. George, UT, US",37.0965278,-113.5684164
St. John,VA,US,NA,NA,NA,"St. John, VA, US",37.274018,-77.294062
St. Louis,MO,US,20000,20000,2e4,"St. Louis, MO, US",38.6270025,-90.19940419999999
St. Mary of the Woods,IN,US,NA,NA,NA,"St. Mary of the Woods, IN, US",39.505481,-87.463832
St. Paul/Minneapolis,MN,US,90000,100000,95e3,"St. Paul/Minneapolis, MN, US",44.977753,-93.2650108
St. Petersburg,FL,US,20000,20000,2e4,"St. Petersburg, FL, US",27.7518284,-82.6267345
Sacramento,CA,US,20000,20000,2e4,"Sacramento, CA, US",38.5815719,-121.4943996
Sag Harbor,NY,US,NA,NA,NA,"Sag Harbor, NY, US",40.99787730000001,-72.2925819
